dataset(id);id_db;description_short;keyword(synonyms);description_full;dataset(description);dataset(description);segmented_word;dataset(title,description);success_a;failure_b;failure_c;failure_d;failure_e;completion_time;category;WER_score
15;829dab2d-e433-4f17-9479-04cd374be2f9;lavabo;lavabo,toilet,sewing machine,path; Lavabo, WC, alte Nähmaschine und mehr. Guten Tag Stadtmelder Team. Als erstes möchte ich mich bedanken für Ihr Engagement und Ihre immer freundlichen Antworten. Nun mein Anliegen. Anfang der Kräzernbrücke Richtung Winkeln führt ein kleiner Weg, gehört zum Brückenweg, Richtung Sitter. Dort wurden etwa 50 Meter von der Strasse entfernt allerlei abgelegt. Siehe Foto. Von der Strasse aus ist der Müll fast nicht zu sehen. Vielen Dank fürs Kümmern.;Lavabo, WC, alte Nähmaschine und mehr ;Guten Tag Stadtmelderteam Als erstes möchte ich mich bedanken für Ihr Engagement und Ihre immer freundlichen Antworten! Nun mein Anliegen: Anfang der Kräzernbrücke Richtung Winkeln, führt ein kleiner Weg (gehört zum Brückenweg) Richtung Sitter. Dort wurde etwa 50 Meter von der Strasse entfernt allerlei abgelegt, siehe Foto. Von der Strasse aus ist der Müll fast nicht zu sehen. Vielen Dank fürs Kümmern.;a toilet;Lavabo, WC, alte Nähmaschine und mehr  Guten Tag Stadtmelderteam Als erstes möchte ich mich bedanken für Ihr Engagement und Ihre immer freundlichen Antworten! Nun mein Anliegen: Anfang der Kräzernbrücke Richtung Winkeln, führt ein kleiner Weg (gehört zum Brückenweg) Richtung Sitter. Dort wurde etwa 50 Meter von der Strasse entfernt allerlei abgelegt, siehe Foto. Von der Strasse aus ist der Müll fast nicht zu sehen. Vielen Dank fürs Kümmern.;x;;;;;215;Abfall;0.176
16;2a5da297-4ce9-4ec8-b712-983cccffe381;waste;waste,garbage,refuse,disposal truck,situation; Entsorgung vergessen. Letzten Freitag wurde an unserer Strasse vergessen den Abfall zu entsorgen. Zwischenzeitlich präsentiert sich die Situation gemäss Foto. Bitte schicken Sie einen Entsorgungslaster. Besten Dank.;Entsorgung vergessen;Letzten Freitag wurde an unserer Strasse vergessen den Abfall zu entsorgen. Zwischenzeitlich präsentiert sich die Situation gemäss Foto. Bitte schicken Sie einen Entsorgungslaster. Besten Dank;a waste;Entsorgung vergessen Letzten Freitag wurde an unserer Strasse vergessen den Abfall zu entsorgen. Zwischenzeitlich präsentiert sich die Situation gemäss Foto. Bitte schicken Sie einen Entsorgungslaster. Besten Dank;x;;;;;95;Abfall;0.074
17;7811cfbd-df0e-4331-ad79-b906ab010b87;cardboard boxes;cardboard boxes,cardboard,heap,boxes,refuse; etwas zu früh verantwortungslos kartons stehen am samstag 7 märz bereit die karton abfuhr findet erst am 17 märz ab 13 uhr statt übrigens wird der karton aus sicherheitsgründen erst ab 13 uhr abgeholt und sollte nicht über die nacht draußen liegen schon oft wurde ein solcher haufen angezündet mit verheerenden folgen ich bitte sie um kenntnisnahme;Etwas zu früh.;Verantwortungslos! Kartons stehen am Samstag, 7. März bereit, die Kartonabfuhr findet erst am 17. März ab 13 Uhr statt. Übrigens wird der Karton aus Sicherheitsgründen erst ab 13 Uhr abgeholt und sollte nicht über Nacht draussen liegen, schon oft wurden solche Haufen angezündet mit verheerenden Folgen. Ich bitte Sie um Kenntnisnahme.;a cardboard boxes;Etwas zu früh. Verantwortungslos! Kartons stehen am Samstag, 7. März bereit, die Kartonabfuhr findet erst am 17. März ab 13 Uhr statt. Übrigens wird der Karton aus Sicherheitsgründen erst ab 13 Uhr abgeholt und sollte nicht über Nacht draussen liegen, schon oft wurden solche Haufen angezündet mit verheerenden Folgen. Ich bitte Sie um Kenntnisnahme.;x;;;;;118;Abfall;0.556
18;9822b2fb-2bce-438c-a41f-18cd9cb9fb60;waste bags;waste bags,containers,street,debris,garbage; Abfall auf Strasse, Baustelle Schützengarten, Stadt auswärts, Abfallsäcke aus Containern auf Strasse geworfen, aufgerissen, Abfall grossflächig verteilt.;Abfall auf Strasse;Bushaltestelle Schützengarten, stadtauswärts: Abfallsäcke aus Containern auf Strasse geworfen, aufgerissen, Abfall grossflächig verteilt.;a street;Abfall auf Strasse Bushaltestelle Schützengarten, stadtauswärts: Abfallsäcke aus Containern auf Strasse geworfen, aufgerissen, Abfall grossflächig verteilt.;;;;x;;90;Abfall;0.250
19;21cad984-11be-4834-b430-b7a372a8be14;trash;trash,garbage,flyers,garbage collection; Abfall. Trotz Flyer-Offensive liegt der Müll bereits am Samstag wieder herum. Und das kommt, obwohl die Kehrichtabfuhr erst am Freitag kommt. Wirkung gleich Null.;Abfall;"Trotz Flyer-Offensive liegt der Müll bereits am Samstag wieder herum; und das, obwohl die Kehrichtabfuhr erst am Freitag kommt. Wirkung gleich null.";;"Abfall Trotz Flyer-Offensive liegt der Müll bereits am Samstag wieder herum; und das, obwohl die Kehrichtabfuhr erst am Freitag kommt. Wirkung gleich null.";x;;;;;175;Abfall;0.261
20;414c15f4-6f42-4002-983a-74227c8b0d41;waste;waste,floor,meter; Abfall seit Freitag. 50 Meter ist ein Unterflur.;Abfall seit Freitag;50m ist ein Unterfluhr;a waste;Abfall seit Freitag 50m ist ein Unterfluhr;x;;;;;81;Abfall;0.571
21;6d1bdf07-a080-4df7-9be0-44adb045f0ff;garbage;garbage,refuse bags,trash,waste; Abfall. Kehrichtsäcke stehen seit Sonntag bereit, obwohl die ordentliche Kehrichtabfuhr erst Freitag ist.;Abfall;Kehrichtsäcke stehen seit Sonntag bereit, obwohl die ordentliche Kehrichtabfuhr erst Freitag ist;a garbage ;Abfall Kehrichtsäcke stehen seit Sonntag bereit, obwohl die ordentliche Kehrichtabfuhr erst Freitag ist;x;;;;;157;Abfall;0.154
22;013a0342-9771-409f-add0-52fde9f3d5d2;waste dump;waste dump,garbage bags,bins,residents,container; Neue Abfalldeponie im Schmittengässlein. Schon seit Wochen ständig Abfallsäcke im Schmittengässlein. Bitte Anwohner über Abfuhrzeiten und Möglichkeiten des Unterflurcontainers informieren. Danke.;neue Abfalldeponie im Schmittengässlein;Schon seit Wochen ständig Abfallsäcke im Schmittengässlein. Bitte Anwohner über Abfuhrzeiten und Möglichkeiten des Unterflurcontainers informieren. Danke.;a garbage bags;neue Abfalldeponie im Schmittengässlein Schon seit Wochen ständig Abfallsäcke im Schmittengässlein. Bitte Anwohner über Abfuhrzeiten und Möglichkeiten des Unterflurcontainers informieren. Danke.;x;;;;;101;Abfall;0.095
23;9d91a519-519e-4664-88db-a9102cfb0703;waste disposal;waste disposal,trash,refuse,garbage,waste; Illegale Abfallentsorgung. Hier entsorgt ein Mitbürger seinen Abfall wöchentlich gratis.;illegale Abfallentsorgung;Hier entsorgt ein Mitbürger seinen Abfall wöchentlich gratis;a trash;illegale Abfallentsorgung Hier entsorgt ein Mitbürger seinen Abfall wöchentlich gratis;x;;;;;120;Abfall;0.300
24;93c22462-41c6-4d10-824a-a62f7fed993e;waste;waste,rubbish,debris,grass,pond; Abfall. Abfall in der Wiese neben dem Weiher.;Abfall;Abfall in der Wiese neben dem Weiher;a waste;Abfall Abfall in der Wiese neben dem Weiher;x;;;;;144;Abfall;0.250
25;f1545cb0-e893-4417-966d-23afe753427e;garbage bag;garbage bag,trash bag,refuse bag,waste bag; Abfallsack deponiert. Erneut wurde ein Abfallsack an einem Wochenende vor unserem Haus entsorgt. Unverständlich, dass dies in letzter Zeit so oft geschieht. Besten Dank für Ihre Bemühungen.;Abfallsack deponiert;Erneut wurde ein Abfallsack an einem Wochenende vor unserem Haus entsorgt. Unverständlich, dass dies in letzter Zeit so oft geschieht… Besten Dank für Ihre Bemühungen.;a garbage bag;Abfallsack deponiert Erneut wurde ein Abfallsack an einem Wochenende vor unserem Haus entsorgt. Unverständlich, dass dies in letzter Zeit so oft geschieht… Besten Dank für Ihre Bemühungen.;x;;;;;160;Abfall;0.074
26;b21a87f4-7f56-46fd-8db4-e2b8367c841c;tree;tree,tree,street,tree; Baum gefällt. Wieso wurde in der Linsenbühlstraße schon wieder ein Baum gefällt?;Baum gefällt;Wieso wurde in der Linsenbühlstrasse schon wieder ein Baum gefällt?;a tree;Baum gefällt Wieso wurde in der Linsenbühlstrasse schon wieder ein Baum gefällt?;;;;;x;165;Grünflächen;0.167
27;d449fa0c-b5b3-4a66-9c8f-df9335df29bf;trip hazard;trip hazard,wire,entrance,playground,wooden hedge; Stolperfalle. Beim Eingang zum Spielplatz Zielstraße wurde am Holzhag direkt beim Eingang Höhe Pfadi Baracke ein Draht aufgerissen bzw. hängt raus. Das könnte eine gefährliche Stolperfalle werden.;Stolperfalle;Beim Eingang zum Spielplatz Zilstrasse wurde am Holzhag (direkt beim Eingang Höhe Pfadibaracke) ein Draht ausgerissen bzw hängt raus. Das könnte eine gefährliche Stolperfalle werden!;a wire;Stolperfalle Beim Eingang zum Spielplatz Zilstrasse wurde am Holzhag (direkt beim Eingang Höhe Pfadibaracke) ein Draht ausgerissen bzw hängt raus. Das könnte eine gefährliche Stolperfalle werden!;x;;;;;190;Grünflächen;0.308
28;6b40ca74-0ac8-4959-b857-b1d7e729fc52;pavement;pavement,sidewalk,path,road,Kreuzackerstrasse; Sehr rutschiger Velofussgängerweg. Der Laubabfall hat aufgrund der hohen Fussgänger- und Fahrradfahrerfrequenz zu einer sehr rutschigen Belag auf diesen Abschnitt Kreuzackerstrasse geführt, welcher schon länger nicht geräumt wurde. Eine Räumung dieses gemischten Weges wäre super, vielen Dank im Voraus.;Sehr rutschiger Velo-/Fussgängerweg;Der Laubfall hat aufgrund der hohen Fussgänger- und Fahrradfahrerfrequenz zu einem sehr rutschigen Belag auf diesem Abschnitt (Kreuzackerstrasse) geführt, welcher schon länger nicht geräumt wurde. Eine Reinigung dieses gemischten Weges wäre super - vielen Dank im Voraus! ;a path;Sehr rutschiger Velo-/Fussgängerweg Der Laubfall hat aufgrund der hohen Fussgänger- und Fahrradfahrerfrequenz zu einem sehr rutschigen Belag auf diesem Abschnitt (Kreuzackerstrasse) geführt, welcher schon länger nicht geräumt wurde. Eine Reinigung dieses gemischten Weges wäre super - vielen Dank im Voraus! ;;;x;;;223;Grünflächen;0.225
29;9728109b-2756-4082-9c5b-b60bddb9ffa6;Burg Weiher Park;Burg Weiher Park,fence,hedge,footpath,lawn; Burg Weiher Park. Nutzung nicht offizieller Eingang von der Seite Fürstenlandstraße ca. Höhe 17. Bei der Fürstenlandstraße musste der Zaun sowie die Hecke zum Burg Weiher Park abgebaut werden, um die elektrische Leitungen für die VBSG Busse zu montieren. Der Zaun sowie die Hecke wurden nicht wiederhergestellt. Das hat zur Folge, dass sich ein Fussgängerweg als Abkürzung in den Park etabliert hat. Dieser ist bereits auf dieser Wiese erkennbar. Dadurch sehen die Hundebesitzer auch nicht das Schild am offiziellen Eingang, dass Hunde angeleint sein müssen. Die Wiese präsentiert sich ungepflegt und vermehrt sind freilaufende Hunde zu beachten.환remix google 17 Mai 2017 Eintracht München Hamburg D czas 15 Jahre D rom Bavaria knives properlyes;Burgweiherpark - Nutzung nicht offizieller Eingang von der Seite Fürstenlandstrasse ca. Höhe Nummer 17;Bei der Fürstenlandstrasse mussten der Zaun sowie die Hecken zum Burgweiherpark abgebaut werden, um die elektrischen Leitungen für die VBSG-Busse zu montieren. Der Zaun sowie die Hecken wurden nicht wiederhergestellt. Das hat zur Folge, dass sich ein Fussweg als Abkürzung in den Park etabliert hat - dieser ist bereits in der Wiese erkennbar (vgl. Foto). Dadurch sehen die Hundebesitzer auch nicht das Schild am offiziellen Eingang, dass Hunde angeleint sein müssen. Die Wiese präsentiert sich ungepflegt und vermehrt sind freilaufende Hunde zu beobachten.;a lawn;Burgweiherpark - Nutzung nicht offizieller Eingang von der Seite Fürstenlandstrasse ca. Höhe Nummer 17 Bei der Fürstenlandstrasse mussten der Zaun sowie die Hecken zum Burgweiherpark abgebaut werden, um die elektrischen Leitungen für die VBSG-Busse zu montieren. Der Zaun sowie die Hecken wurden nicht wiederhergestellt. Das hat zur Folge, dass sich ein Fussweg als Abkürzung in den Park etabliert hat - dieser ist bereits in der Wiese erkennbar (vgl. Foto). Dadurch sehen die Hundebesitzer auch nicht das Schild am offiziellen Eingang, dass Hunde angeleint sein müssen. Die Wiese präsentiert sich ungepflegt und vermehrt sind freilaufende Hunde zu beobachten.;;x;;;;241;Grünflächen;0.433
30;786ba5f9-a8b8-4297-b3ea-f7ada6ff4a9f;chestnuts;chestnuts,chestnuts,alley,military street,vehicle,cyclist; Kastanien. Warum werden die zahlreichen Kastanien in der Kastanienallee zwischen der Militärstraße, Kreuzbleicheweg, Kasernenweg nicht einem Tierpark zugeführt? Anstatt dessen werden die Kastanien von Fahrzeugen plattgefahren, was sehr unangenehm ist für Velofahrer.;Kastanien;Warum werden die zahlreichen Kastanien in der Kastanienallee zwischen der Militärstrasse - Kreuzbleicheweg - Kasernenweg nicht einem Tierpark zugeführt? Anstatt dessen werden die Kastanien von Fahrzeugen plattgefahren, was sehr unangenehm ist für Velofahrer.;a vehicle;Kastanien Warum werden die zahlreichen Kastanien in der Kastanienallee zwischen der Militärstrasse - Kreuzbleicheweg - Kasernenweg nicht einem Tierpark zugeführt? Anstatt dessen werden die Kastanien von Fahrzeugen plattgefahren, was sehr unangenehm ist für Velofahrer.;;;;;x;627;Grünflächen;0.147
31;4cc14cc1-c1cf-4061-9202-938ccfbffa07;plants;plants,embankment,ditch,pedestrians,people; Fussgänger wegen Bepflanzung nicht sichtbar. Am oberen Graben vor dem Stars and Stripes sieht man aufgrund der Bepflanzung vor dem Fussgängerstreifen wartende Personen gar nicht. Bitte korrigieren Sie das. Vielen Dank schon im Voraus.;Fussgänger wegen Bepflanzung nicht sichtbar;Am oberen Graben, vor dem Stars and Stripes, sieht man aufgrund der Bepflanzung vor dem Fussgängerstreifen wartende Personen gar nicht. Bitte korrigieren Sie das. Vielen Dank schon im Voraus.;a pedestrians;Fussgänger wegen Bepflanzung nicht sichtbar Am oberen Graben, vor dem Stars and Stripes, sieht man aufgrund der Bepflanzung vor dem Fussgängerstreifen wartende Personen gar nicht. Bitte korrigieren Sie das. Vielen Dank schon im Voraus.;;;;;x;130;Grünflächen;0.088
32;dc31544c-a174-4620-97e8-bb9a6a99b98c;sidewalk;sidewalk,bushes,pavement,path,trees; Gehweg nicht passierbar. Seit mehreren Monaten schlagen die Gebüsche ins Trottoir. Dazu wurde es vor ca. einem Monat schon mal gemeldet und nichts passierte. Ist es möglich diese zurückzuschneiden, damit man den Weg ungehindert passieren kann? Vielen Dank, schon im Voraus. Bildansicht von Augenhöhe.;Gehweg nicht passierbar;Seit mehreren Monaten schon ragen die Gebüsche ins Trottoir. Dazu wurde es vor ca. 1. Monat schon mal gemeldet und nichts passierte! Ist es möglich diese zurückschneiden damit man den Weg ungehindert passieren kann. Vielen Dank schon im Voraus. (Bild Ansicht von Augenhöhe);a bushes;Gehweg nicht passierbar Seit mehreren Monaten schon ragen die Gebüsche ins Trottoir. Dazu wurde es vor ca. 1. Monat schon mal gemeldet und nichts passierte! Ist es möglich diese zurückschneiden damit man den Weg ungehindert passieren kann. Vielen Dank schon im Voraus. (Bild Ansicht von Augenhöhe);x;;;;;210;Grünflächen;0.239
33;5c085fa2-553f-42ac-858c-944f3901b3ce;tree;tree,large tree,sidewalk,street,pavement; Umsturzgefährdeter Baum Toter, umsturzgefährdeter, grosser Baum auf Privatgrundstück, aber direkt angrenzend an öffentliche Strasse und Trottoir, welches häufig von Kindern genutzt wird, gefährlich für Mensch, Autos und angrenzende Liegenschaften.;Umsturzgefährdeter Baum;Toter, umsturzgefährdeter, grosser Baum. Auf privatem Grundstück aber direkt angrenzend an öffentliche Strasse und Trottoir, welches häufig von Kindern genutzt wird. Gefährlich für Mensch, Autos und angrenzende Liegenschaften.;a tree;Umsturzgefährdeter Baum Toter, umsturzgefährdeter, grosser Baum. Auf privatem Grundstück aber direkt angrenzend an öffentliche Strasse und Trottoir, welches häufig von Kindern genutzt wird. Gefährlich für Mensch, Autos und angrenzende Liegenschaften.;x;;;;;230;Grünflächen;0.200
34;a3ea9062-4c55-4d22-ae83-b061fca790fd;blackberry bush;blackberry bush,wall,sidewalk,street,children; Brombeerstrauch. Es ragt über die Mauer Richtung Oberstraße, gemäss genau Richtung Trottoir raus. Die Fußgänger müssen immer wieder ausweichen, zum Teil in die Oberstraße rein. Wenn ihr es glaubt, schickt die Polizei dort vorbei. Es dauert nicht lange, bis dort ein Unfall gibt. Es gibt auch Kinder, die dort laufen. Es sind auch nicht gleich kleine Dornen.;Brombeer Strauch;Es ragt über die Mauer Richtung oberstrasse genau Richtung Trottoir raus die fuessgänger müssen immer wieder ausweichen zum Teil in die Oberstrasse rein! Wenn ihr es glaubt schickt die Polizei dort vorbei! Es dauert nicht lange bis dort ein Unfall gibt! Es gibt auch Kinder wo dort laufen! Es sind auch nicht gleich kleine Dornen!;a wall;Brombeer Strauch Es ragt über die Mauer Richtung oberstrasse genau Richtung Trottoir raus die fuessgänger müssen immer wieder ausweichen zum Teil in die Oberstrasse rein! Wenn ihr es glaubt schickt die Polizei dort vorbei! Es dauert nicht lange bis dort ein Unfall gibt! Es gibt auch Kinder wo dort laufen! Es sind auch nicht gleich kleine Dornen!;;;;;x;350;Grünflächen;0.316
35;194ec90d-f957-4525-bed8-746b60c6329b;bush;bush,bush,zebra crossing,sight,tree; Busch versperrt Sicht. Dieser wild wachsende Busch versperrt die Sicht beim Zebrastreifen. Kinder sehen Auto nicht und umgekehrt müsste man wohl einfach abschneiden.;Busch versperrt Sicht;Dieser wild wachsende Busch versperrt die Sicht beim Zebrastreifen, Kinder sehen Autos nicht und umgekehrt. Müsste man wohl einfach abschneiden.;a bush;Busch versperrt Sicht Dieser wild wachsende Busch versperrt die Sicht beim Zebrastreifen, Kinder sehen Autos nicht und umgekehrt. Müsste man wohl einfach abschneiden.;x;;;;;152;Grünflächen;0.217
36;216841c3-30b6-44bd-9a72-a7dd51bfe2a1;climbing frame;climbing frame,climbing tower,slide,playground,broken frame; Spielplatz defekte Klettersprosse. Beim Spielplatz im Stadtpark ist eine Sprosse des Kletterturms bei der Rutsche abgeknackst und könnte bei Belastung brechen. Bitte um Ersatz.;Spielplatz - defekte Klettersprosse;Beim Spielplatz im Stadtpark ist eine Sprosse des Kletterturms bei der Rutsche angeknackst und könnte bei Belastung brechen. Wir bitten um Ersatz.;a playground;Spielplatz - defekte Klettersprosse Beim Spielplatz im Stadtpark ist eine Sprosse des Kletterturms bei der Rutsche angeknackst und könnte bei Belastung brechen. Wir bitten um Ersatz.;;;;;x;124;Grünflächen;0.192
